algorithm,size,median_ms,min_ms,max_ms,p95_ms,iterations
discover_dfg,100,0.266,0.102,1.268,1.268,7
discover_dfg,1000,0.791,0.606,3.343,3.343,7
discover_dfg,5000,3.047,2.797,3.643,3.643,7
discover_dfg,10000,5.856,5.627,7.554,7.554,7
discover_declare,100,0.067,0.063,0.076,0.076,7
discover_declare,1000,0.641,0.626,0.738,0.738,7
discover_declare,5000,2.749,2.681,2.945,2.945,7
discover_heuristic_miner,100,0.070,0.066,0.089,0.089,7
discover_heuristic_miner,1000,0.638,0.537,0.656,0.656,7
discover_heuristic_miner,5000,2.875,2.719,3.285,3.285,7
discover_heuristic_miner,10000,5.981,5.831,6.466,6.466,7
discover_alpha_plus_plus,100,0.104,0.103,0.105,0.105,7
discover_alpha_plus_plus,1000,0.964,0.946,1.005,1.005,7
discover_alpha_plus_plus,5000,4.229,3.952,4.678,4.678,7
discover_alpha_plus_plus,10000,8.997,8.725,12.243,12.243,7
discover_inductive_miner,100,0.136,0.130,0.147,0.147,7
discover_inductive_miner,1000,1.222,1.191,1.260,1.260,7
discover_inductive_miner,5000,6.103,5.703,6.534,6.534,7
discover_inductive_miner,10000,13.479,12.432,14.362,14.362,7
discover_hill_climbing,100,0.042,0.042,0.046,0.046,7
discover_hill_climbing,1000,1.469,1.323,1.521,1.521,7
discover_hill_climbing,5000,11.545,10.723,12.613,12.613,7
discover_hill_climbing,10000,50.409,44.837,54.741,54.741,7
extract_process_skeleton,100,0.103,0.101,0.105,0.105,7
extract_process_skeleton,1000,0.865,0.855,0.889,0.889,7
extract_process_skeleton,5000,4.429,4.358,4.726,4.726,7
extract_process_skeleton,10000,9.203,8.547,9.303,9.303,7
analyze_event_statistics,100,0.002,0.002,0.004,0.004,7
analyze_event_statistics,1000,0.002,0.002,0.012,0.012,7
analyze_event_statistics,5000,0.005,0.005,0.008,0.008,7
analyze_event_statistics,10000,0.008,0.008,0.009,0.009,7
discover_astar,100,0.385,0.355,0.561,0.561,7
discover_astar,1000,3.253,3.218,3.798,3.798,7
discover_astar,5000,39.194,31.552,44.295,44.295,7
discover_simulated_annealing,100,0.814,0.678,0.906,0.906,7
discover_simulated_annealing,1000,5.782,5.131,8.082,8.082,7
discover_simulated_annealing,5000,25.717,21.047,30.049,30.049,7
discover_ant_colony,100,0.731,0.699,0.792,0.792,7
discover_ant_colony,1000,3.420,3.061,3.908,3.908,7
discover_ant_colony,5000,17.540,15.867,25.580,25.580,7
analyze_trace_variants,100,0.158,0.149,0.178,0.178,7
analyze_trace_variants,1000,0.795,0.681,0.868,0.868,7
analyze_trace_variants,5000,3.692,3.161,3.868,3.868,7
analyze_trace_variants,10000,7.192,6.954,7.480,7.480,7
mine_sequential_patterns,100,0.187,0.185,0.198,0.198,7
mine_sequential_patterns,1000,1.299,1.232,1.456,1.456,7
mine_sequential_patterns,5000,5.960,5.431,6.352,6.352,7
detect_concept_drift,100,1.733,1.712,2.998,2.998,7
detect_concept_drift,1000,30.894,27.431,31.274,31.274,7
detect_concept_drift,5000,146.429,143.491,156.930,156.930,7
cluster_traces,100,0.296,0.278,5.854,5.854,7
cluster_traces,1000,1.052,1.046,1.793,1.793,7
cluster_traces,5000,5.170,5.137,5.319,5.319,7
discover_genetic_algorithm,100,0.766,0.735,0.843,0.843,7
discover_genetic_algorithm,500,2.825,2.683,3.047,3.047,7
discover_genetic_algorithm,1000,5.555,5.039,5.876,5.876,7
discover_pso_algorithm,100,1.283,1.160,1.392,1.392,7
discover_pso_algorithm,500,5.391,4.947,6.987,6.987,7
discover_pso_algorithm,1000,11.530,10.948,12.212,12.212,7
discover_ilp_petri_net,100,0.425,0.377,0.490,0.490,7
discover_ilp_petri_net,500,1.449,1.405,1.565,1.565,7
discover_ilp_petri_net,1000,2.999,2.975,3.094,3.094,7
analyze_variant_complexity,100,0.179,0.135,0.235,0.235,7
analyze_variant_complexity,1000,1.267,0.901,2.394,2.394,7
analyze_variant_complexity,5000,4.356,4.250,4.665,4.665,7
analyze_variant_complexity,10000,8.491,8.135,8.725,8.725,7
compute_activity_transition_matrix,100,0.222,0.203,0.236,0.236,7
compute_activity_transition_matrix,1000,1.337,1.311,1.474,1.474,7
compute_activity_transition_matrix,5000,6.463,6.458,6.499,6.499,7
compute_activity_transition_matrix,10000,12.848,12.695,16.550,16.550,7
detect_rework,100,0.062,0.062,0.068,0.068,7
detect_rework,1000,0.597,0.504,0.613,0.613,7
detect_rework,5000,2.524,2.404,3.177,3.177,7
detect_rework,10000,5.023,4.779,7.462,7.462,7
